series_description,frequency,cleaned_series_names,comment,,,,Index
T1_TSE_256_12s_SA,123,,,,,,
DE_High-Res_LAX_3Ch_4Ch_2Ch_PSIR,123,LGE_LAX,,,,,
DE_High-Res_LAX_3Ch_4Ch_2Ch_MAG,123,LGE_LAX,,,,,
Trufi_Cine_LAX_4ChStack,123,,,,,,
CINE-SA-12sl-2BH,121,SAX,not checked yet,,,,
tf2d28_12sl-SA_iPAT,121,,,,,,
tf2d15_retro-triggered_SAx,118,SAX,not checked yet,,,,
fl2d7_retro_iPAT-4CH,118,4CH,not checked yet,,,,
tfi_psir_single-shot_10sl_iPAT_sa_MAG,110,LGE_SAX,not checked yet,,,,
tfi_psir_single-shot_10sl_iPAT_sa_PSIR,110,LGE_SAX,not checked yet,,,,
tfi_single-shot_3_stacks_(LA)_bh_PSIR,108,,,,,,
T1Map_ShortT1_SAXs,108,,,,,,
T1Map_ShortT1_SAXs_MOCO,108,,,,,,
tfi_single-shot_3_stacks_(LA)_bh_MAG,108,LGE_LAX,"Includes 2CH, 3CH and 4CH",,,,
RV-STUDY-IGOR_RV-SEGMENTS-,107,,,,,,
tfl_sr_MET_SCAN_192_3sl_HIGH_RES.,107,,,,,,
CINE_CS_realtimel_SAX,105,,,,,,
Trufi_Cine_SAX_b13,102,,,,,,
DefineLAX_na_3Ch_4Ch_2Ch,100,,,,,,
CINE_CS_realtimel_SAX_INTP,100,,,,,,
tse_11_db_t1_iPAT,98,,,,,,
tfl2d_25_2_cycles_SAx_MAG,95,LGE_SAX,,,,,
tfl2d_25_2_cycles_SAx_PSIR,95,LGE_SAX,,,,,
Heart_morphology_t1_tse_1-,92,,,,,,
DefineLongaxis_3Ch_4Ch_2Ch,84,,,,,,
tf2d18_retro_iPAT_12slices,82,,,,,,
tf2d_rt_10slices_trig_iPAT,80,,X,,,,
t1_db_korte_as_trig1,80,,,,,,
tse_17_db_t2_FS_SHIM_BOX(12SL),80,,,,,,
tfl20_t1_psir_segmented_PSIR,75,,,,,,
DE_overview_SAX_2Ch_4Ch_3Ch_MAG,74,LGE_SAX,,,,,
tf2d_rt_REAL_TIME,74,,,,,,
DE_overview_SAX_2Ch_4Ch_3Ch_PSIR,74,LGE_SAX,,,,,
tfl20_t1_psir_segmented_MAG,74,LGE_SAX,,,,,
tfi_single-shot_(2-3-4-_kamer)_BH_PSIR,73,LGE_LAX,,,,,
tfi_single-shot_(2-3-4-_kamer)_BH_MAG,73,LGE_LAX,,,,,
TRUFI_RVOT-CINE,73,,,,,,
tfi_single-shot_(MET_'SCAN')_14_slices_DOORADEMEN,73,,,,,,
BTFE_2CH_LT,72,,,,,,
TEMP_SA,69,,,,,,
T1_TSE_256_12s_axiaal,69,,,,,,
trufi_sa_loc.,69,,,,,,
tf2d22_retro_multi-sl_iPAT,67,,,,,,
Trufi_Cine_RVOT,66,,,,,,
short_axis_loc,65,,,,,,
tfl20_t1_late_enh_2-kamer_PSIR,64,LGE_2CH,,,,,
tfl20_t1_late_enh_2-kamer_MAG,64,LGE_2CH,,,,,
tirm_15_db_t2_8mm_SAx,64,,,,,,
BTFE-SA,63,,,,,,
tfl20_t1_late_enh_4-kamer_MAG,63,LGE_4CH,,,,,
tf2d15_cine_3-kamer,63,,,,,,
tfl20_t1_late_enh_4-kamer_PSIR,63,LGE_4CH,,,,,
tfl20_t1_late_enh_3-kamer_MAG,62,LGE_3CH,,,,,
tfl20_t1_late_enh_3-kamer_PSIR,62,LGE_3CH,,,,,
DE_High-Res_LAX_4Ch_3Ch_2Ch_PSIR,60,LGE_LAX,,,,,
DE_High-Res_LAX_4Ch_3Ch_2Ch_MAG,60,LGE_LAX,,,,,
rustperfusie__5sl_60m,60,,,,,,
tf2d15_retro_iPAT,60,SAX,,,,,
tf2d15_cine_4-kamer,60,4CH,,,,,
stressperfusie__5sl_60m_adenosine,60,,,,,,
tf2d15_cine_2-kamer,59,2CH,,,,,
tf2d15_cine_rvot,58,,,,,,
tfi65_psir_4sl-2bh-2ch_PSIR,56,LGE_2CH,,,,,
t1_db_2-kamer_trig1,56,,,,,,
tfi65_psir_4sl-2bh-2ch_MAG,56,LGE_3CH,,,,,
tfi65_psir_4sl-2bh-3ch_MAG,55,LGE_3CH,,,,,
tfi65_psir_4sl-2bh-3ch_PSIR,55,LGE_2CH,,,,,
t1_tfl_tra_mbh_anatomie,55,,,,,,
t1_tfl_cor_mbh_anatomie,54,,,,,,
fl4_150_flow_aorta_P,54,,,,,,
tfl2d_25_t1_4CH,54,LGE_4CH,,,,,
fl4_150_flow_aorta,54,,,,,,
IR_TFE_LL,52,,,,,,
BTFE-4CH,51,,,,,,
DE_overview_3Ch_4Ch_SAX_2Ch_MAG,50,LGE_SAX_LAX,,,,,
DE_overview_3Ch_4Ch_SAX_2Ch_PSIR,50,LGE_SAX_LAX,,,,,
tfl2d_25_t1_DHE_SA,49,LGE?,,,,,
Dynamic_Stress_doorademen_SAX_b3s,49,,,,,,
Dynamic_Stress_doorademen_SAX_b1s,49,,,,,,
Dynamic_Stress_doorademen_SAX_b2s,49,,,,,,
tfl2d_25_t1_DHE_sa,49,LGE?,,,,,
t1_db_4-kamer_trig1,49,,,,,,
Dynamic_Stress_doorademen_SAX_b2s_MOCO,48,,,,,,
tfi3D_nav_Whole-Heart_iPAT,48,,,,,,
Dynamic_Stress_doorademen_SAX_b1s_MOCO,48,,,,,,
Dynamic_Stress_doorademen_SAX_b3s_MOCO,48,,,,,,
dynamic_STRESS,47,,,,,,
tf2d15_cine_4-kamer-1,46,4CH,,,,,
T2__SPAIR_SA,46,,,,,,
DefineLongaxis_4Ch_3Ch_2Ch,45,,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)-4ch,45,,,,,,
BTFE-3CH_Lt,44,,,,,,
trufi_rvot,44,,,,,,
tf2d15_cine_4-kamer+1,44,,,,,,
tf2d_rt_1slice_NonTrig,44,,X,,,,
tfl2d_25_t1_DHE(BREATH-HELD)-2ch,43,,,,,,
trufi_loc_multi,43,,X,,,,
tfl2d_25_t1_2CH,43,,,,,,
Dynamic_Perfusie_test_doorademen_SAX_b2s,43,,,,,,
Dynamic_Perfusie_test_doorademen_SAX_b1s,43,,,,,,
Dynamic_Perfusie_test_doorademen_SAX_b3s,43,,,,,,
tfi_korte_assen_cine_iP_bh,42,,,,,,
tf2d22_retro_korte_as_doorademen_cine,42,,,,,,
Trufi_Cine_3ch_RE,42,,,,,,
tfl2d_25_t1_DHE(BREATH-HELD)-3ch,41,,,,,,
t1_db_3-kamer_trig1,40,,,,,,
cine_2_shots_(snelle_BH)_SAX,39,,,,,,
DefineLAX_na_4Ch_3Ch_2Ch,39,,,,,,
T2_TSE_256_2chv_spair,39,,,,,,
Dynamic_Perfusie_test_doorademen_SAX_b3s_MOCO,38,,,,,,
Dynamic_Perfusie_test_doorademen_SAX_b1s_MOCO,38,,,,,,
korte_assen_cine_ecg_exp_tfi,38,,,,,,
tfl2d_25_t1SA,38,,,,,,
Dynamic_Perfusie_test_doorademen_SAX_b2s_MOCO,38,,,,,,
trufi_sr_dyn_192_4sl_iPAT,37,,,,,,
tfl2d_25_2_cycles_MAG,37,LGE_SAX,,,,,
short_axis_delayed_PSIR,37,LGE_SAX,,,,,
DE_overview__SAX_PSIR,37,LGE_SAX,,,,,
TI-Scout_4Ch,37,,,,,,
tf2d15_cine_2chrv_(ARVC),37,,,,,,
tfl2d_25_2_cycles_PSIR,37,LGE_SAX,,,,,
Care_Bolus_cor,37,,,,,,
short_axis_delayed_MAG,37,LGE_SAX,,,,,
DE_overview__SAX_MAG,37,LGE_SAX,,,,,
FLASH_SA_CINE,37,,,,,,
t1_db_rvot_trig1,36,,,,,,
DE_korte_as_ecg_exp_PSIR,36,LGE_SAX,,,,,
FS_T2TSE_SAX,36,,,,,,
TRUFI_SA_CINE_10s-4BH,36,,,,,,
DE_korte_as_ecg_exp_MAG,36,LGE_SAX,,,,,
IR_TFE_SA,36,,,,,,
"Flash_Cine_in_fase_4ch__BW_400_TE_4,76_4Ch",35,,,,,,
fl4_150_flow-pulm-a_P,35,,,,,,
TRUFI_SA_CINE_1s-4BH,35,,,,,,
fl4_150_flow-pulm-a,35,,,,,,
Thorax_Cor,35,,,,,,
cp-body-array_scout,34,,,,,,
"onder_patient_""reset_table_position""_aanklikken",34,,,,,,
tfi_psir_single-shot_10sl_iPAT_MAG,33,LGE_SAX,,,,,
tfi_psir_single-shot_10sl_iPAT_PSIR,33,LGE_SAX,,,,,
INTERACTIVE,33,,,,,,
trufi_shortaxis_iPAT,33,SAX_no_cine,,,,,
tf2d15_retro,33,,,,,,
db_stir_korte_as,33,,,,,,
T2__SPAIR_3CH,33,,,,,,
trufi_2-chamber_iPAT,32,2CH_no_cine,,,,,
___________BB_TSE_HR_S,32,,,,,,
T2_TSE_256_3chv_spair,32,,,,,,
t1_db__4-kamer_trig2,32,,,,,,
FS_T2TSE_LAX_3Ch_4Ch_2Ch,31,,,,,,
QF_Pulm-150,31,,,,,,
TRUFI_RVOT___PULM_HOOFDSTAM,31,,,,,,
T2__SPAIR_4CH,31,,,,,,
Thorax_Tra,31,,,,,,
BB_TSE_HR_SENSE,31,,,,,,
tfl2d_25_t1-4ch-_DHE(BREATH-HELD),30,,,,,,
trufi_2-chamber,30,2CH,,,,,
B-TFE_Cine,30,,,,,,
controle_first_pass__5sl_10m,30,,,,,,
T2__SPAIR_2CH,30,,,,,,
tfl20_t1_psir_seg_2-cycle_MAG,30,,,,,,
tfl20_t1_psir_seg_2-cycle_PSIR,30,,,,,,
fl4_100-flow-arteria_pulm-,29,,,,,,
fl4_100-flow-arteria_pulm-_P,29,,,,,,
tf2d15_retro_iPAT-2ch-25ph,29,,,,,,
3D_ANGIO,29,,,,,,
tse_db_t2_SPAIR_axiaal+shimbox_plaatsen,29,,,,,,
sBTFE_BH_2CH_LI,29,,,,,,
tfl2d_25_t1_2cycles_sa,29,,,,,,
sBTFE_BH_4CH,29,,,,,,
sBTFE_BH_3CH,29,,,,,,
IR_TFE_4CH,29,,,,,,
tfi65_t1_3D_iPAT,29,,,,,,
tf2d16_radial_hr-lv-50ph,29,,,,,,
tf2d22_retro_iPAT_arryth,28,,,,,,
tfl2d_25_t1_DHE_4ch,28,,,,,,
hart-Groenink_TSE-T1-TRA,28,,,,,,
QF_AO-150,28,,,,,,
trufi_short-axis,28,SAX,,,,,
T2Map_SAXs,28,,,,,,
Gre_Cine_LAX_SA,28,,,,,,
korte_as_cine,28,,,,,,
B-TFE-PA-COR,28,,,,,,
tse_17_db_t2_SA_spair+shimbox_plaatsen,27,,,,,,
T2Map_SAXs_MOCO,27,,,,,,
tfl2d_25_t1_3CH,27,,,,,,
IR_TFE_2CHL,27,,,,,,
DE_overview_LAX_3Ch_4Ch_2Ch_PSIR,27,LGE_LAX,,,,,
T2Map_SAXs_MOCO_T2,27,,,,,,
T2_TSE_256_4chv_spair,27,,,,,,
DE_overview_LAX_3Ch_4Ch_2Ch_MAG,27,LGE_LAX,,,,,
DE_overview_SAX_2Ch_3Ch_4Ch_PSIR,26,LGE_SAX_LAX,,,,,
DE_overview_LE_SAX_MAG,26,LGE_SAX,,,,,
PSIR_TFE_BH_TI,26,,,,,,
tse_17_db_t2_iPAT_ax_spair+shimbox_plaatsen,26,,,,,,
TI-Scout,26,,X,,,,
DE_overview_SAX_2Ch_3Ch_4Ch_MAG,26,LGE_SAX,,,,,
t1_db__2-kamer_trig2,26,,,,,,
DE_overview_LE_SAX_PSIR,26,LGE_SAX,,,,,
Trufi_Cine_2Kamer_RV2Ch,25,,,,,,
cine_SAX,25,SAX,,,,,
cine_retro-triggered_SAX,25,SAX,,,,,
Trufi_Cine_SAX_b14,25,SAX,,,,,
RV-STUDY-IGOR_LOC-SAG-TURB,25,,,,,,
4CH_SENSE,24,,,,,,
tfl25_t1_psir_segmented_MAG,24,LGE_SAX,,,,,
tfl25_t1_psir_segmented_PSIR,24,LGE_SAX,,,,,
tfi_single-shot_(2-3-4-_kamer)bh_PSIR,24,LGE_LAX,,,,,
haste__tra_db_2bh_iPAT-tra,24,,,,,,
tfi_single-shot_(2-3-4-_kamer)bh_MAG,24,LGE_LAX,,,,,
cine_tf2d22_10slices_ka,24,,,,,,
t1_db__3-kamer_trig2,24,,,,,,
IR_SA_BH380_CLEAR,24,,,,,,
T1Map_geheel_SAX_MOCO,23,,,,,,
cine_korte_assen,23,,,,,,
FS_T2TSE_SAXs,23,,X,,,,
dynamic_Stress,23,,,,,,
T1Map_geheel_SAX,23,,,,,,
dynamic_test__first_pass,23,,,,,,
delayed_2-cycle_MAG,23,LGE_SAX,,,,,
IR_TFE_3CHL,23,,,,,,
delayed_2-cycle_PSIR,23,LGE_SAX,,,,,
T1Map_geheel_SAX_MOCO_T1,23,,,,,,
DE_High-Res_LAX_4Ch_2Ch_3Ch_MAG,22,LGE_LAX,,,,,
tirm_15_db_t2,22,,X,,,,
Gre_Cine_LAX_3Ch,22,,,,,,
DE_High-Res_LAX_4Ch_2Ch_3Ch_PSIR,22,LGE_LAX,,,,,
three_chamber_loc,22,,,,,,
Gre_Cine_LAX_2Ch,22,,,,,,
t1_db_rvot_trig2,22,,,,,,
tf2d_rt_10slices_trig_T-PAT3+,22,,,,,,
___________TFE_BH_SENS,22,,,,,,
CINE_CS_realtime_10sl_inVF_INTP,22,,,,,,
CINE_CS_realtime_10sl_inVF,22,,,,,,
tfl15_t1_psir_seg_iPAT-sa10_PSIR,21,LGE_SAX,,,,,
nav_tse_9_db_t1,21,,,,,,
tfl15_t1_psir_seg_iPAT-sa10_MAG,21,LGE_SAX,,,,,
tf2d15_retro_iPAT-4ch-50ph,21,,,,,,
FLASH_IN_FASE_TE_4.76_4CH,20,,,,,,
DE_overview_SAX_MAG,20,LGE_SAX,,,,,
tfi65_psir_4sl-2bh-4ch_met_sat_slab_over_myelum_PSIR,20,LGE_4CH,,,,,
tfi65_psir_4sl-2bh-4ch_met_sat_slab_over_myelum_MAG,20,LGE_4CH,,,,,
tfl_sr_dyn_160_4sl_iPAT,20,,,,,,
TRUFI_SA_CINE_10s-4BH_trigger,20,,,,,,
RV-STUDY-IGOR_TSE-T1-TRANS,20,,,,,,
two_chamber_loc,20,,,,,,
trufi_cine__2C_stack,20,,,,,,
Gre_Cine_LAX_4Ch,20,,,,,,
tf2d15_retro_iPAT-3chv-50p,20,,,,,,
tf2d15_retro_korte_as_mbh,20,,,,,,
TSE-BB-SA,20,,,,,,
T1Map_ShortT1_SAX_b1s_MOCO,19,,,,,,
IR_4CH_BH360_CLEAR,19,,,,,,
tf2d_rt_1slice_2CH_CINE,19,,,,,,
T1Map_ShortT1_SAX_b2s_MOCO,19,,,,,,
T1Map_ShortT1_SAX_b2s,19,,,,,,
CINE_segmented_FLOW_AorticValve,19,,,,,,
T1Map_ShortT1_SAX_b1s,19,,,,,,
tf2d20_retro_iPAT_16slices_256,19,,,,,,
T1Map_ShortT1_SAX_b3s_MOCO,19,,,,,,
IR_TFE_BH,19,,,,,,
T1Map_ShortT1_SAX_b3s,19,,,,,,
fl3d-cor_precontrast_ANGIO,18,,,,,,
PSIR_TFE_BH_SA_TI_280,18,LGE_SAX,,,,,
tf2d_rt_1slice_4CH_CINE,18,,,,,,
fl3d-cor_postctr_ANGIO,18,,,,,,
tfl_sr_dyn_160_3_stacks_PROEF,18,,,,,,
four_chamber_loc,18,,,,,,
PSIR_TFE_BH_2CH_TI_260,18,LGE_2CH,,,,,
LE_PSIR_korte_as,18,LGE_SAX,,,,,
Gre_Cine_SAX_b6,18,SAX,,,,,
dynamic_rust,18,,,,,,
Gre_Cine_SAX_b5,18,SAX,,,,,
CINE_segmented_LAX_3Ch,18,,,,,,
TFE_BH_SENSE,18,,,,,,
tf2d_rt_REAL_TIME_LAX_non_trigger_100_phases_doorademen,18,,,,,,
Gre_Cine_SAX_b4,18,SAX,,,,,
TRUFI_SA_CINE_9s-4BH,18,,,,,,
CINE_segmented_LAX_4Ch,18,,,,,,
DE_overview_SAX_PSIR,18,LGE_SAX,,,,,
Gre_Cine_SAX_b1,18,SAX,,,,,
Gre_Cine_SAX_b3,18,SAX,,,,,
tf2d28_SA-_view_(10_tot_12_slices),18,,,,,,
Gre_Cine_SAX_b7,18,SAX,,,,,
DE_overview_LE_LAX_3Ch_4Ch_2Ch_PSIR,18,LGE_LAX,,,,,
Gre_Cine_SAX_b8,18,SAX,,,,,
DE_overview_LE_LAX_3Ch_4Ch_2Ch_MAG,18,LGE_LAX,,,,,
dynamic_TEST_STRESS,18,,,,,,
Gre_Cine_SAX_b2,18,SAX,,,,,
tfl2d_25_t1_DHE_3ch,17,LGE_3CH,,,,,
tfi_psir_single-shot_10sl_MAG,17,LGE_SAX,,,,,
DefineLongaxis_4Ch_2Ch_3Ch,17,,,,,,
trufi_4-chamber_iPAT,17,,,,,,
___________AX_CINE_MSM,17,,,,,,
tfl15_t1_psir_seg_iPAT-4chv_PSIR,17,LGE_SAX,,,,,
TI-Scout_Capt_Cycle_aanklikken_4Ch,17,,,,,,
Gre_Cine_SAX_InlineVF,17,SAX,Contains combined slices of Gre_cine_SAX_b{slice_number},,,,
Gre_Cine_SAX_b10,17,SAX,,,,,
CINE_segmented_LAX_2Ch,17,,,,,,
tfi_psir_single-shot_10sl_PSIR,17,LGE_SAX,,,,,
hart-Groenink_CORONAIR-BHO,17,,,,,,
B-TFE-PA-SAG,17,,,,,,
sBTFE_BH,17,,,,,,
RV-STUDY-IGOR_LOC-TRANS-TU,17,,,,,,
tf2d15_retro_iPAT-pul-COR,17,,,,,,
T1_DB_SAXs,17,,,,,,
tfl15_t1_psir_seg_iPAT-4chv_MAG,17,LGE_4CH,,,,,
Gre_Cine_SAX_b9,17,SAX,,,,,
tf2d15_retro_iPAT-pul-SAG,17,,,,,,
Gre_Cine_SAX_b11,17,SAX,,,,,
Cine_retro-triggered,17,SAX,,,,,
tf2d22_SA_CINE,16,,,,,,
___________VIABILITY,16,,,,,,
tfi65_psir_t1_1slice_MAG,16,LGE_SAX,,,,,
TFL_PSIR_SA_PSIR,16,LGE_SAX,,,,,
fl2d_25_t1_2_cycles,16,,,,,,
tfi_single-shot_3_stacks_(LA)_doorademen,16,,,,,,
tfi65_psir_t1_1slice_PSIR,16,LGE_SAX,,,,,
DHE-3D_BH_2_slabs_4_ch,16,,,,,,
DHE_3D_BH_3-slabs_SA,16,,,,,,
Cine_4_kamer,16,,X,,,,
TFL_PSIR_SA_MAG,16,LGE_SAX,,,,,
tfi_single-shot_2CH,15,,,,,,
axial_db_haste_loc,15,,,,,,
BTFE_3CH-LT,15,,,,,,
FLASH_IN_FASE_TE_4.76_RVOT,15,,,,,,
tfl20_t1_late_enh_6_sl_korte_as_MAG,15,LGE_SAX,,,,,
tse_17_db_t2_FS_SHIM_BOX2ch,15,,,,,,
2CH_LV_SENSE,15,,,,,,
tf2d16_retro_CINE_SA-pakket,15,,,,,,
tfi_single-shot_3_CH,15,,,,,,
T1_DB_LAX_2Ch_4Ch_3Ch,15,,,,,,
IR_TFE_LL_1_beat,15,,,,,,
tfl20_t1_late_enh_6_sl_korte_as_PSIR,15,LGE_SAX,,,,,
BTFE_4CH,15,,,,,,
tfl2d_25_t1_2cycles_300,15,,,,,,
axiale_cines_(indien_afwijkende_RV),15,,,,,,
CINE_segmented_SAX_b1,14,,,,,,
T2_STIR_BB_SA,14,,,,,,
PSIR_TFE_BH_4CH_TI_280,14,LGE_4CH,,,,,
Trufi_Cine_prospectief_SAX_b2,14,,,,,,
T2Map_subset_SAXs_MOCO_T2,14,,,,,,
realtime_short_axis_cine,14,,,,,,
T2Map_subset_SAXs,14,,,,,,
Dynamic_Pefusie__Test_doorademen_SAX_b1s,14,,,,,,
sQFLOW_aorta,14,,,,,,
hart-Groenink_TSE-T1-SAG,14,,,,,,
Trufi_Cine_prospectief_SAX_b1,14,,,,,,
AMC_HART___BTFE_ssmp,14,,,,,,
Dynamic_Pefusie__Test_doorademen_SAX_b3s,14,,,,,,
tf2d22_retro_iPAT-12sl,14,,,,,,
tfl25_t1_segmented_iPAT,14,,,,,,
Dynamic_Pefusie__Test_doorademen_SAX_b2s,14,,,,,,
true_fisp_trans_fov_200,14,,,,,,
SA_TEMP_CLEAR,14,,,,,,
Heart_morphology_tfl_scout,14,,,,,,
BTFE_PA-SAG,14,,,,,,
TRUFI_AX_CINE_12s-4BH,14,,,,,,
T2Map_subset_SAXs_MOCO,14,,,,,,
CINE_segmented_SAX_b8,13,,,,,,
tfl15_t1_psir_seg_iPAT-3CHV_PSIR,13,LGE_3CH,,,,,
sBTFE_BH_SA,13,,,,,,
tf2d_rt_SA,13,,,,,,
tfl15_t1_psir_seg_iPAT-2chv_PSIR,13,LGE_2CH,,,,,
cine_2_shots__niet_voor_aritmie_SAX,13,,,,,,
Trufi_Cine_prospectief_SAX_b3,13,,,,,,
tfl15_t1_psir_seg_iPAT-2chv_MAG,13,LGE_2CH,,,,,
DE_overview_SAX_4Ch_2Ch_3Ch_PSIR,13,LGE_SAX,,,,,
CINE_segmented_SAX_b3,13,,,,,,
tfi65_psir_8sl-4bh-SA_MAG,13,LGE_SAX,,,,,
tfl15_t1_psir_seg_iPAT-4CHV_PSIR,13,LGE_4CH,,,,,
CINE_segmented_User1,13,,,,,,
CINE_segmented_SAX_b2,13,,,,,,
Cine_3_kamer,13,,,,,,
tfl20_t1_psir_segmented_korte_as_MAG,13,LGE_SAX,,,,,
Gre_Cine_SAX_b12,13,SAX,,,,,
tfl20_t1_psir_seg_iPAT_DE_sa_PSIR,13,LGE_SAX,,,,,
CINE_segmented_SAX_b10,13,,,,,,
fl3d_nav_ir_nonBH,13,,X,,,,
HEBE_______VIABILITY,13,,,,,,
tfl15_t1_psir_seg_iPAT-4CHV_MAG,13,LGE_4CH,,,,,
CINE_segmented_SAX_b6,13,,,,,,
tfi65_psir_8sl-4bh-SA_PSIR,13,LGE_SAX,,,,,
tfl15_t1_psir_seg_iPAT-3CHV_MAG,13,LGE_3CH,,,,,
tfl20_t1_psir_segmented_korte_as_PSIR,13,LGE_SAX,,,,,
Heart_function_cine_tr30_1,13,,,,,,
